index,group_index,final,c_name,img,lvl,branch,stim_type,p_id,accurate,react_time
56,12,1,clothing_n_01,cape_n_02,hypernym,clothing.n.01,True,23,1,552
57,3,1,campstool_n_01,raincoat_n_01,hyponym,furniture.n.01,False,23,1,746
58,8,1,musical_instrument_n_01,lyre_n_01,hypernym,musical_instrument.n.01,True,23,1,716
59,20,1,musette_n_01,sultana_n_01,hyponym,musical_instrument.n.01,False,23,1,868
60,6,1,tank_top_n_01,tank_top_n_01,hyponym,clothing.n.01,True,23,1,679
61,13,1,underwear_n_01,long_johns_n_01,bl,clothing.n.01,True,23,0,589
62,7,1,cape_n_02,cape_n_02,hyponym,clothing.n.01,True,23,1,704
63,14,1,musical_instrument_n_01,campstool_n_01,hypernym,musical_instrument.n.01,False,23,1,700
64,20,1,granadilla_n_04,spinet_n_02,hyponym,edible_fruit.n.01,False,23,1,540
65,10,1,furniture_n_01,armoire_n_01,hypernym,furniture.n.01,True,23,1,460
66,18,1,putty_knife_n_01,putty_knife_n_01,hyponym,hand_tool.n.01,True,23,0,553
67,3,1,hand_tool_n_01,heckelphone_n_01,hypernym,hand_tool.n.01,False,23,1,677
68,8,1,hand_tool_n_01,nailfile_n_01,hypernym,hand_tool.n.01,True,23,1,834
69,17,1,bunk_bed_n_01,bunk_bed_n_01,hyponym,furniture.n.01,True,23,1,716
70,16,1,brassiere_n_01,acoustic_guitar_n_01,bl,clothing.n.01,False,23,1,620
71,19,1,stool_n_01,campstool_n_01,bl,furniture.n.01,True,23,0,527
72,4,1,furniture_n_01,armchair_n_01,hypernym,furniture.n.01,True,23,1,479
73,15,1,melon_n_01,turtleneck_n_01,bl,edible_fruit.n.01,False,23,1,386
74,1,1,clothing_n_01,floor_lamp_n_01,hypernym,clothing.n.01,False,23,1,601
75,5,1,bongo_n_01,spade_n_02,hyponym,musical_instrument.n.01,False,23,1,491
76,9,1,musical_instrument_n_01,bass_clarinet_n_01,hypernym,musical_instrument.n.01,True,23,1,474
77,2,1,awl_n_01,floor_lamp_n_01,bl,hand_tool.n.01,False,23,1,601
78,12,1,musette_n_01,musette_n_01,hyponym,musical_instrument.n.01,True,23,1,948
79,11,1,lyre_n_01,pew_n_01,hyponym,musical_instrument.n.01,False,23,1,467
80,6,1,edible_fruit_n_01,bosc_n_01,hypernym,edible_fruit.n.01,True,23,1,369
81,1,1,cabinet_n_01,dresser_n_05,bl,furniture.n.01,True,23,1,718
82,16,1,musical_instrument_n_01,bitter_orange_n_02,hypernym,musical_instrument.n.01,False,23,1,424
83,12,1,harp_n_01,campstool_n_01,bl,musical_instrument.n.01,False,23,1,385
84,2,1,bradawl_n_01,cradle_n_01,hyponym,hand_tool.n.01,False,23,0,757
85,17,1,carpenters_square_n_01,bass_clarinet_n_01,hyponym,hand_tool.n.01,False,23,1,714
86,3,1,trowel_n_01,brick_trowel_n_01,bl,hand_tool.n.01,True,23,0,936
87,19,1,violin_n_01,stradavarius_n_01,bl,musical_instrument.n.01,True,23,1,726
88,10,1,clothing_n_01,crescent_wrench_n_01,hypernym,clothing.n.01,False,23,1,562
89,15,1,jacket_n_01,armchair_n_01,bl,clothing.n.01,False,23,1,473
90,18,1,clothing_n_01,bitter_orange_n_02,hypernym,clothing.n.01,False,23,1,881
91,7,1,clothing_n_01,bow_tie_n_01,hypernym,clothing.n.01,True,23,0,538
92,4,1,musical_instrument_n_01,musette_n_01,hypernym,musical_instrument.n.01,True,23,0,778
93,5,1,edible_fruit_n_01,bitter_orange_n_02,hypernym,edible_fruit.n.01,True,23,1,663
94,20,1,campstool_n_01,campstool_n_01,hyponym,furniture.n.01,True,23,1,1039
95,14,1,bass_clarinet_n_01,coffee_table_n_01,hyponym,musical_instrument.n.01,False,23,0,792
96,9,1,clothing_n_01,dresser_n_05,hypernym,clothing.n.01,False,23,1,574
97,11,1,turtleneck_n_01,turtleneck_n_01,hyponym,clothing.n.01,True,23,1,614
98,13,1,desk_n_01,writing_desk_n_02,bl,furniture.n.01,True,23,1,758
99,8,1,bitter_orange_n_02,bitter_orange_n_02,hyponym,edible_fruit.n.01,True,23,1,471
100,13,1,furniture_n_01,cradle_n_01,hypernym,furniture.n.01,True,23,1,464
101,10,1,granny_smith_n_01,cape_n_02,hyponym,edible_fruit.n.01,False,23,1,1005
102,2,1,pew_n_01,pew_n_01,hyponym,furniture.n.01,True,23,0,608
103,19,1,table_n_02,putty_knife_n_01,bl,furniture.n.01,False,23,1,599
104,4,1,harp_n_01,lyre_n_01,bl,musical_instrument.n.01,True,23,1,1142
105,18,1,damson_n_01,uplift_n_02,hyponym,edible_fruit.n.01,False,23,1,1094
106,9,1,clarinet_n_01,bass_clarinet_n_01,bl,musical_instrument.n.01,True,23,1,452
107,14,1,bradawl_n_01,bradawl_n_01,hyponym,hand_tool.n.01,True,23,0,1310
108,17,1,dresser_n_05,handsaw_n_01,hyponym,furniture.n.01,False,23,1,683
109,3,1,musical_instrument_n_01,face_veil_n_01,hypernym,musical_instrument.n.01,False,23,1,506
110,16,1,musical_instrument_n_01,contrabassoon_n_01,hypernym,musical_instrument.n.01,True,23,0,458
111,6,1,bass_horn_n_01,euphonium_n_01,bl,musical_instrument.n.01,True,23,1,880
112,11,1,raincoat_n_01,raincoat_n_01,hyponym,clothing.n.01,True,23,1,816
113,12,1,clothing_n_01,bikini_n_02,hypernym,clothing.n.01,True,23,1,564
114,15,1,skirt_n_02,bradawl_n_01,bl,clothing.n.01,False,23,1,524
115,7,1,needlenose_pliers_n_01,needlenose_pliers_n_01,hyponym,hand_tool.n.01,True,23,0,687
116,20,1,smooth_plane_n_01,smooth_plane_n_01,hyponym,hand_tool.n.01,True,23,0,1188
117,5,1,church_key_n_01,church_key_n_01,hyponym,hand_tool.n.01,True,23,0,1320
118,8,1,musical_instrument_n_01,long_johns_n_01,hypernym,musical_instrument.n.01,False,23,1,899
119,1,1,bitter_orange_n_02,smooth_plane_n_01,hyponym,edible_fruit.n.01,False,23,1,1411
120,13,1,orange_n_01,handsaw_n_01,bl,edible_fruit.n.01,False,23,1,410
121,4,1,clothing_n_01,tank_top_n_01,hypernym,clothing.n.01,True,23,1,575
122,11,1,apple_n_01,muffler_n_02,bl,edible_fruit.n.01,False,23,1,475
123,2,1,edible_fruit_n_01,bikini_n_02,hypernym,edible_fruit.n.01,False,23,1,558
124,14,1,musical_instrument_n_01,phillips_screwdriver_n_01,hypernym,musical_instrument.n.01,False,23,1,511
125,8,1,pliers_n_01,needlenose_pliers_n_01,bl,hand_tool.n.01,True,23,1,988
126,17,1,euphonium_n_01,euphonium_n_01,hyponym,musical_instrument.n.01,True,23,1,619
127,3,1,harpsichord_n_01,coffee_table_n_01,bl,musical_instrument.n.01,False,23,1,599
128,5,1,bow_tie_n_01,sultana_n_01,hyponym,clothing.n.01,False,23,1,674
129,1,1,musical_instrument_n_01,heckelphone_n_01,hypernym,musical_instrument.n.01,True,23,1,559
130,9,1,cloak_n_02,heckelphone_n_01,bl,clothing.n.01,False,23,0,725
131,6,1,cymbal_n_01,phillips_screwdriver_n_01,bl,musical_instrument.n.01,False,23,1,539
132,18,1,swimsuit_n_01,bikini_n_02,bl,clothing.n.01,True,23,1,492
133,7,1,uplift_n_02,uplift_n_02,hyponym,clothing.n.01,True,23,0,546
134,20,1,furniture_n_01,granadilla_n_04,hypernym,furniture.n.01,False,23,1,483
135,15,1,brick_trowel_n_01,bunk_bed_n_01,hyponym,hand_tool.n.01,False,23,0,1362
136,19,1,bagpipe_n_01,heart_cherry_n_02,bl,musical_instrument.n.01,False,23,1,611
137,16,1,furniture_n_01,coffee_table_n_01,hypernym,furniture.n.01,True,23,1,495
138,12,1,bench_n_01,pew_n_01,bl,furniture.n.01,True,23,1,446
139,10,1,furniture_n_01,highboy_n_01,hypernym,furniture.n.01,True,23,1,838
140,19,1,edible_fruit_n_01,granadilla_n_04,hypernym,edible_fruit.n.01,True,23,1,376
141,10,1,pear_n_01,contrabassoon_n_01,bl,edible_fruit.n.01,False,23,1,509
142,7,1,stradavarius_n_01,stradavarius_n_01,hyponym,musical_instrument.n.01,True,23,1,1019
143,17,1,edible_fruit_n_01,granny_smith_n_01,hypernym,edible_fruit.n.01,True,23,1,665
144,11,1,love_seat_n_01,love_seat_n_01,hyponym,furniture.n.01,True,23,1,742
145,6,1,watermelon_n_02,watermelon_n_02,hyponym,edible_fruit.n.01,True,23,1,606
146,5,1,wardrobe_n_01,church_key_n_01,bl,furniture.n.01,False,23,1,670
147,9,1,chair_n_01,armchair_n_01,bl,furniture.n.01,True,23,1,489
148,18,1,swimsuit_n_01,heart_cherry_n_02,bl,clothing.n.01,False,23,1,453
149,12,1,suit_n_01,business_suit_n_01,bl,clothing.n.01,True,23,1,583
150,15,1,acoustic_guitar_n_01,damson_n_01,hyponym,musical_instrument.n.01,False,23,1,399
151,3,1,drum_n_01,needlenose_pliers_n_01,bl,musical_instrument.n.01,False,23,1,549
152,8,1,musical_instrument_n_01,bathrobe_n_01,hypernym,musical_instrument.n.01,False,23,1,571
153,14,1,smooth_plane_n_01,granadilla_n_04,hyponym,hand_tool.n.01,False,23,0,739
154,4,1,long_johns_n_01,long_johns_n_01,hyponym,clothing.n.01,True,23,0,613
155,13,1,sweat_pants_n_01,sweat_pants_n_01,hyponym,clothing.n.01,True,23,1,399
156,2,1,pear_n_01,bosc_n_01,bl,edible_fruit.n.01,True,23,1,624
157,20,1,plane_n_05,smooth_plane_n_01,bl,hand_tool.n.01,True,23,1,772
158,16,1,mandarin_n_05,miniskirt_n_01,bl,edible_fruit.n.01,False,23,1,664
159,1,1,scarf_n_01,euphonium_n_01,bl,clothing.n.01,False,23,1,517
160,1,1,brick_trowel_n_01,brick_trowel_n_01,hyponym,hand_tool.n.01,True,23,0,478
161,13,1,furniture_n_01,watermelon_n_02,hypernym,furniture.n.01,False,23,1,838
162,16,1,cabinet_n_01,carpenters_hammer_n_01,bl,furniture.n.01,False,23,1,530
163,8,1,chest_of_drawers_n_01,raincoat_n_01,bl,furniture.n.01,False,23,1,900
164,15,1,guitar_n_01,acoustic_guitar_n_01,bl,musical_instrument.n.01,True,23,1,427
165,9,1,edible_fruit_n_01,musette_n_01,hypernym,edible_fruit.n.01,False,23,1,664
166,5,1,bathrobe_n_01,bosc_n_01,hyponym,clothing.n.01,False,23,1,684
167,19,1,carpenters_square_n_01,carpenters_square_n_01,hyponym,hand_tool.n.01,True,23,1,715
168,14,1,edible_fruit_n_01,clementine_n_02,hypernym,edible_fruit.n.01,True,23,1,481
169,6,1,bosc_n_01,highhat_cymbal_n_01,hyponym,edible_fruit.n.01,False,23,0,833
170,4,1,saw_n_02,key_lime_n_01,bl,hand_tool.n.01,False,23,1,585
171,7,1,veil_n_01,face_veil_n_01,bl,clothing.n.01,True,23,1,851
172,2,1,nailfile_n_01,piccolo_n_01,hyponym,hand_tool.n.01,False,23,1,1041
173,20,1,necktie_n_01,key_lime_n_01,bl,clothing.n.01,False,23,1,638
174,10,1,phillips_screwdriver_n_01,phillips_screwdriver_n_01,hyponym,hand_tool.n.01,True,23,1,829
175,12,1,grand_piano_n_01,blazer_n_01,hyponym,musical_instrument.n.01,False,23,1,615
176,3,1,plum_n_02,bow_tie_n_01,bl,edible_fruit.n.01,False,23,0,805
177,17,1,square_n_08,coffee_table_n_01,bl,hand_tool.n.01,False,23,1,817
178,18,1,cape_n_02,highhat_cymbal_n_01,hyponym,clothing.n.01,False,23,1,720
179,11,1,bongo_n_01,bongo_n_01,hyponym,musical_instrument.n.01,True,23,1,498
180,6,1,musical_instrument_n_01,brick_trowel_n_01,hypernym,musical_instrument.n.01,False,23,1,508
181,12,1,shirt_n_01,carpenters_square_n_01,bl,clothing.n.01,False,23,1,422
182,4,1,miniskirt_n_01,damson_n_01,hyponym,clothing.n.01,False,23,1,525
183,14,1,pew_n_01,face_veil_n_01,hyponym,furniture.n.01,False,23,1,751
184,13,1,robe_n_01,bathrobe_n_01,bl,clothing.n.01,True,23,1,403
185,8,1,phillips_screwdriver_n_01,uplift_n_02,hyponym,hand_tool.n.01,False,23,1,902
186,10,1,musical_instrument_n_01,bongo_n_01,hypernym,musical_instrument.n.01,True,23,1,545
187,7,1,dresser_n_05,dresser_n_05,hyponym,furniture.n.01,True,23,0,540
188,16,1,hand_tool_n_01,carpenters_square_n_01,hypernym,hand_tool.n.01,True,23,1,639
189,18,1,furniture_n_01,needlenose_pliers_n_01,hypernym,furniture.n.01,False,23,1,527
190,20,1,clothing_n_01,campstool_n_01,hypernym,clothing.n.01,False,23,1,455
191,19,1,hand_tool_n_01,spade_n_02,hypernym,hand_tool.n.01,True,23,1,774
192,11,1,baby_bed_n_01,carpenters_hammer_n_01,bl,furniture.n.01,False,23,1,924
193,2,1,floor_lamp_n_01,floor_lamp_n_01,hyponym,furniture.n.01,True,23,1,587
194,17,1,suit_n_01,love_seat_n_01,bl,clothing.n.01,False,23,1,547
195,15,1,furniture_n_01,piccolo_n_01,hypernym,furniture.n.01,False,23,1,704
196,9,1,bosc_n_01,bosc_n_01,hyponym,edible_fruit.n.01,True,23,0,473
197,5,1,clothing_n_01,sackbut_n_01,hypernym,clothing.n.01,False,23,1,503
0,3,1,bikini_n_02,church_key_n_01,hyponym,clothing.n.01,False,23,1,467
1,1,1,spatula_n_02,putty_knife_n_01,bl,hand_tool.n.01,True,23,1,463
2,10,1,edible_fruit_n_01,bathrobe_n_01,hypernym,edible_fruit.n.01,False,23,1,426
3,11,1,mandarin_n_05,clementine_n_02,bl,edible_fruit.n.01,True,23,0,1065
4,18,1,acoustic_guitar_n_01,acoustic_guitar_n_01,hyponym,musical_instrument.n.01,True,23,1,323
5,17,1,clothing_n_01,sweat_pants_n_01,hypernym,clothing.n.01,True,23,1,400
6,7,1,tank_top_n_01,damson_n_01,hyponym,clothing.n.01,False,23,1,403
7,16,1,guitar_n_01,sultana_n_01,bl,musical_instrument.n.01,False,23,1,671
8,4,1,clarinet_n_01,highboy_n_01,bl,musical_instrument.n.01,False,23,1,495
9,20,1,wardrobe_n_01,armoire_n_01,bl,furniture.n.01,True,23,1,437
10,5,1,highhat_cymbal_n_01,crescent_wrench_n_01,hyponym,musical_instrument.n.01,False,23,1,886
11,1,1,musical_instrument_n_01,grand_piano_n_01,hypernym,musical_instrument.n.01,True,23,1,631
12,2,1,table_n_02,coffee_table_n_01,bl,furniture.n.01,True,23,1,506
13,13,1,hand_tool_n_01,smooth_plane_n_01,hypernym,hand_tool.n.01,True,23,1,581
14,14,1,passion_fruit_n_01,granadilla_n_04,bl,edible_fruit.n.01,True,23,1,351
15,6,1,carpenters_hammer_n_01,carpenters_hammer_n_01,hyponym,hand_tool.n.01,True,23,1,654
16,19,1,uplift_n_02,stradavarius_n_01,hyponym,clothing.n.01,False,23,0,895
17,9,1,handsaw_n_01,bitter_orange_n_02,hyponym,hand_tool.n.01,False,23,1,391
18,15,1,hand_tool_n_01,spinet_n_02,hypernym,hand_tool.n.01,False,23,1,735
19,3,1,spinet_n_02,spinet_n_02,hyponym,musical_instrument.n.01,True,23,0,543
20,12,1,shovel_n_01,lyre_n_01,bl,hand_tool.n.01,False,23,0,931
